Date,wind_generation_actual,wind_capacity,temperature
11/18/2017,606664,41804,2.638
11/19/2017,721237,41804.625,3.116
11/20/2017,380285,41819.417,2.515
11/21/2017,318593,41830.292,5.692
11/22/2017,588235,41860.917,6.446
11/23/2017,730725,41883.292,7.445
11/24/2017,313086,41913.5,7.122
11/25/2017,238671,41925.583,3.458
11/26/2017,599329,41939.792,1.653
11/27/2017,743280,41959.042,2.517
11/28/2017,514932,41983.542,2.921
11/29/2017,99654,41997,0.805
11/30/2017,66388,42021.667,-0.171
12/1/2017,52324,42060.75,-0.778
12/2/2017,126273,42078.208,-1.598
12/3/2017,387488,42084.292,-1.074
12/4/2017,479800,42114.708,1.545
12/5/2017,611486,42132.292,2.761
12/6/2017,632499,42163,2.68
12/7/2017,743722,42188.083,1.532
12/8/2017,652825,42236.125,1.313
12/9/2017,712318,42239,-0.912
12/10/2017,622944,42240.583,-0.501
12/11/2017,415106,42277.875,1.579
12/12/2017,590097,42299.208,0.438
12/13/2017,721539,42328.5,0.106
12/14/2017,666438,42364.125,1.912
12/15/2017,176421,42390.125,0.834
12/16/2017,277392,42393.25,0.371
12/17/2017,250721,42399.333,-0.397
12/18/2017,134841,42408.292,-0.948
12/19/2017,99098,42440.792,0.24
12/20/2017,90882,42507.917,1.634
12/21/2017,259038,42577.167,3.45
12/22/2017,228772,42627.417,4.033
12/23/2017,748074,42637.125,5.266
12/24/2017,812420,42640,5.674
12/25/2017,587810,42640.125,3.599
12/26/2017,717450,42643.917,2.639
12/27/2017,394505,42668.167,1.951
12/28/2017,506423,42745,0.806
12/29/2017,584277,42837.625,-0.335
12/30/2017,721245,42852.458,3.999
12/31/2017,721172,42863,7.996
1/1/2018,680095,42863,4.838
1/2/2018,472798,42863,3.335
1/3/2018,937882,42863,5.367
1/4/2018,591315,42863,5.793
1/5/2018,526593,42863.208,6.224
1/6/2018,203896,42868,4.784
1/7/2018,389480,42868,1.434
1/8/2018,557074,42868.292,0.848
1/9/2018,519081,42875.292,2.817
1/10/2018,148126,42882.5,3.391
1/11/2018,35784,42894.25,2.602
1/12/2018,132627,42900,1.668
1/13/2018,336296,42900,0.457
1/14/2018,396861,42900.167,-1.265
1/15/2018,742827,42904.292,0.579
1/16/2018,673261,42911.208,2.98
1/17/2018,661151,42916.25,1.036
1/18/2018,684235,42922.458,2.446
1/19/2018,297655,42933,1.113
1/20/2018,205317,42933,0.289
1/21/2018,109088,42933.292,-0.562
1/22/2018,313943,42941.25,1.204
1/23/2018,394519,42970.292,3.021
1/24/2018,761971,42977.417,6.846
1/25/2018,394296,42987.125,6.238
1/26/2018,50691,42990,4.407
1/27/2018,314429,42990,3.619
1/28/2018,841002,42991.5,5.433
1/29/2018,899632,43026.958,6.967
1/30/2018,467717,43050.667,3.438
1/31/2018,705576,43089.333,4.618
2/1/2018,522149,43097.792,1.424
2/2/2018,351065,43116,0.806
2/3/2018,112228,43116,-0.281
2/4/2018,252417,43116.292,-1.527
2/5/2018,202820,43123.75,-1.948
2/6/2018,93384,43141.292,-2.496
2/7/2018,56454,43148.625,-2.683
2/8/2018,91859,43164.125,-3.076
2/9/2018,209042,43191.042,-2.6
2/10/2018,171106,43215,-1.078
2/11/2018,625419,43215.625,0.164
2/12/2018,463910,43230.583,-0.438
2/13/2018,259054,43244.667,-1.91
2/14/2018,325599,43261.667,-2.58
2/15/2018,506319,43300.542,-0.534
2/16/2018,328201,43313,1.166
2/17/2018,72441,43313,-0.407
2/18/2018,125794,43313.333,-0.912
2/19/2018,59739,43321.292,-1.033
2/20/2018,109402,43328.583,-1.351
2/21/2018,153066,43343,-1.907
